,,order_id,product_id,title,sku_id,sku_name,brand,kind,function,stock_num,天猫链接,天猫链接2,产品名称 ,SKU名称,天猫价格,new_url_1,price1,price2,new_url_2
22,,6100,59256872,博乐达滋养调理面膜100g,116944210,100g,博乐达,面膜,"抗痘祛痘,去黑头",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.49.5a78241cwllVjI&id=562745560200,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.73.5a78241cwllVjI&id=643255095235,博乐达水杨酸去黑头角质去闭口粉刺控油清洁淡化痘印痘坑刷面膜酸,面膜100g,373.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.49.5a78241cwllVjI&id=562745560200&skuId=3706973311989,373.00,398.00,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.73.5a78241cwllVjI&id=643255095235&skuId=4813658407940
23,,5000,59256874,博乐达滋养调理面膜35g,116944224,35g,博乐达,面膜,"抗痘祛痘,去黑头",100,https://detail.tmall.com/item.htm?spm=a220o.1000855.0.da321h.13755e218YP47d&id=623918494721,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.57.5a78241cwllVjI&id=629767026335,博乐达水杨酸清洁去痘去黑头闭口粉刺淡化痘印非果酸刷面膜酸女男,面膜35g,154.00 ,https://detail.tmall.com/item.htm?spm=a220o.1000855.0.da321h.13755e218YP47d&id=623918494721&skuId=4582551822363,154.00,169.00,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.57.5a78241cwllVjI&id=629767026335&skuId=4645846014720
24,,5600,59256925,博乐达滋养修护精华（377传明酸精华液）,116940741,通用,博乐达,精华,"控油,舒缓,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.40.3730241c6G2GrP&id=584464306427,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.44.3730241c6G2GrP&id=631050742042,博乐达三七传明酸精华液超分子水杨酸淡化痘印亮肤舒缓泛红痕男女,博乐达超分子滋养修护精华 控油提亮肤色 30ml,343.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.40.3730241c6G2GrP&id=584464306427&skuId=4112476538255,343.00,398.00,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-17530103369.44.3730241c6G2GrP&id=631050742042&skuId=4489920144665
25,,9810,59683068,创福康胶原贴医用敷料（II类）,117658580,淡化痘印敷料（5片装/1盒）,创福康,面膜,"抗痘祛痘,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21203582980.39.53863474eDTpwh&id=617592057125,,创福康胶原贴敷料炎症痤疮光子医美术后色素沉着过敏医用敷料正品,医用II类痤疮治疗敷料（5片装/盒）,178.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21203582980.39.53863474eDTpwh&id=617592057125&skuId=4651609065154,178.00,-1,
26,,6000,67365336,痤疮抑菌消毒控油防痘护理套装,140167014,痤疮护理套装（除菌水+修护膏+敷料）,套装,面膜,"修护,舒缓",100,,,,,,,-1,-1,
27,,6000,67365336,痤疮抑菌消毒控油防痘护理套装,140168858,广御除菌水1瓶 （50ml）,套装,面膜,"修护,舒缓",100,,,,,,,-1,-1,
28,,6000,67365336,痤疮抑菌消毒控油防痘护理套装,140159966,小银罐修护膏1罐（10g）,套装,面膜,"修护,舒缓",100,,,,,,,-1,-1,
29,,6000,67365336,痤疮抑菌消毒控油防痘护理套装,140153972,芙清医用皮肤液体敷料清洁护理 I型1支（75g）,套装,面膜,"修护,舒缓",100,,,,,,,-1,-1,
30,,6000,67365336,痤疮抑菌消毒控油防痘护理套装,140198083,可复美类人胶原蛋白敷料1盒（5P）,套装,面膜,"修护,舒缓",100,,,,,,,-1,-1,
31,,2410,60132980,敷尔佳灯泡膜虾青素传明酸修护贴,118380494,1盒(共5片),敷尔佳,面膜,"补水保湿,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.40.54a01c8ejORv6g&id=597951128070,,敷尔佳灯泡膜虾青素传明酸补水保湿改善熬夜肌修护色泽面膜女,1盒(共5片),126.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.40.54a01c8ejORv6g&id=597951128070&skuId=4571813604665,126.00,-1,
32,,2410,60132980,敷尔佳灯泡膜虾青素传明酸修护贴,118373267,2盒装(共10片),敷尔佳,面膜,"补水保湿,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.40.54a01c8ejORv6g&id=597951128070,,敷尔佳灯泡膜虾青素传明酸补水保湿改善熬夜肌修护色泽面膜女,2盒装(共10片),245.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.40.54a01c8ejORv6g&id=597951128070&skuId=4571813604666,245.00,-1,
33,,2410,60132980,敷尔佳灯泡膜虾青素传明酸修护贴,118363635,4盒(共20片),敷尔佳,面膜,"补水保湿,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.40.54a01c8ejORv6g&id=597951128070,,敷尔佳灯泡膜虾青素传明酸补水保湿改善熬夜肌修护色泽面膜女,4盒(共20片),469.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.40.54a01c8ejORv6g&id=597951128070&skuId=4571813604664,469.00,-1,
34,,2100,60132941,敷尔佳水杨酸果酸焕肤面膜,118373121,1支,敷尔佳,面膜,"补水保湿,舒缓",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.22.34921c8eqUvmfJ&id=622431289460,,敷尔佳水杨酸果酸焕肤面膜深层清洁去黑头粉刺收缩毛孔角质涂抹式,1支,126.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.22.34921c8eqUvmfJ&id=622431289460&skuId=4576415745627,126.00,-1,
35,,9600,59510291,敷尔佳虾青素传明酸精华液,117341126,1瓶,敷尔佳,精华,"补水保湿,紧致肌肤",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.27.64711c8eZi3ZFD&id=600809081354,,敷尔佳虾青素传明酸精华液润泽保湿均匀提亮肤色淡化色沉密集补水,1瓶,139.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-22385189054.27.64711c8eZi3ZFD&id=600809081354&skuId=4540528184480,139.00,-1,
